Actual Labels,Predicted Labels,Decision Values
2,1,0.6157406229391522
2600,0,0.3312602861964317
290,0,0.27995262090850326
3,0,0.46741636141636134
148,1,0.6932660950160948
22,0,0.40593049597461367
169,0,0.3964057233616057
0,0,0.023130508380508386
12,1,0.7473691602515131
0,0,0.13926648351648352
308,0,0.40654061654719564
174,1,0.6189380203130203
0,1,0.6635974025974026
1617,0,0.30341878387350524
354,0,0.45868458588195443
35,1,0.642733003108003
0,0,0.49705369630369634
3,1,0.5973203797836149
124,0,0.28594848044112753
1,1,0.534266547178312
9,0,0.41254137529137513
376,1,0.521985171691054
29,0,0.26374730824730824
19,0,0.30143266455766454
124,0,0.22607485569985566
1,1,0.5793181818181816
11,0,0.3589819624819625
35,0,0.31840662931839403
17,1,0.7360799339549338
76,1,0.6282958985458986
12,1,0.5523368934986582
166,0,0.3046249583749584
5457,0,0.1629862089664721
0,0,0.24920175730702046
6,0,0.37552008371745205
2132,0,0.11169454156954156
9700,0,0.19628367465867463
14,1,0.6265503189620837
68,1,0.510226069681952
55,1,0.5900647685647686
345,0,0.4978573550632375
5,1,0.7032487512487512
1,0,0.42804218004218014
18,1,0.5629790301717547
0,1,0.6052891275391277
207,0,0.3150983497496655
18,0,0.40789269463766364
19,1,0.6559854777575367
635,0,0.37206396381396367
54,1,0.6427782079032078
1,0,0.28752623765123764
0,1,0.5522295759795761
61,0,0.43818072042336736
14,1,0.5728931330107803
24,1,0.5403034743034744
51,1,0.6068915251415252
93,1,0.6988578782328783
7,1,0.6136191455603222
10,0,0.4264841269841271
368,0,0.2277835782638414
25,1,0.6349516842806319
0,0,0.467056956931957
9,1,0.7034974855725628
247,0,0.39704670166434874
36,0,0.3352254967254967
772,0,0.15095919358419355
0,1,0.708207283944126
0,1,0.5880344459462106
0,0,0.34845128482628496
2,1,0.751015762015762
0,0,0.17407750093044208
32,0,0.3073653291153291
38,0,0.4286898934398934
49,0,0.2639917721167721
130,0,0.3910878035792896
1087,0,0.3501185277141159
134,0,0.49737818395055233
726,0,0.2603229825729826
37,0,0.4137096098346097
6463,0,0.19239764402264398
